nutrition/0/0,nutrition/0/1,nutrition/1/0,nutrition/1/1,nutrition/2/0,nutrition/2/1,nutrition/3/0,nutrition/3/1,nutrition/4/0,nutrition/4/1,nutrition/5/0,nutrition/5/1,nutrition/6/0,nutrition/6/1,nutrition/7/0,nutrition/7/1,nutrition/8/0,nutrition/8/1,nutrition/9/0,nutrition/9/1,nutrition/10/0,nutrition/10/1,nutrition/11/0,nutrition/11/1,nutrition/12/0,nutrition/12/1,nutrition/13/0,nutrition/13/1,nutrition/14/0,nutrition/14/1,nutrition/15/0,nutrition/15/1,nutrition/16/0,nutrition/16/1,nutrition/17/0,nutrition/17/1,caloriesFromFat,calories,tags/0,tags/1,tags/2,tags/3,tags/4,tags/5,tags/6,directions/0,directions/1,ingredients/0,ingredients/1,ingredients/2,ingredients/3,ingredients/4,ingredients/5,ingredients/6,ingredients/7,ingredients/8,ingredients/9,ingredients/10,servingsNumber,totalTime,cookTime,prepTime,photoUrl,shortDescription,title,directions/2,ingredients/11,ingredients/12,directions/3,ingredients/13,ingredients/14,ingredients/15,ingredients/16,directions/4,directions/5,directions/6,directions/7,ingredients/17,ingredients/18,ingredients/19,ingredients/20,directions/8,tags/7,directions/9,directions/10,directions/11,directions/12,ingredients/21,ingredients/22,ingredients/23,ingredients/24,ingredients/25,ingredients/26,ingredients/27,ingredients/28,ingredients/29,ingredients/30,ingredients/31,ingredients/32,ingredients/33,ingredients/34,ingredients/35,ingredients/36,ingredients/37
Total Fat,4g,Saturated Fat,2g,Sodium,251mg,Carbohydrates,8g,Dietary Fiber,1g,Protein,4g,Sugars,2g,Vitamin C,3mg,Calcium,69mg,Iron,0mg,Thiamin,0mg,Niacin Equivalents,0mg,Vitamin B6,0mg,Magnesium,3mg,Folate,7mcg,Vitamin A - IU,232IU,Cholesterol,12mg,Potassium,42mg,38,87,BUSHâ€™SÂ® beans,quick & easy,,,,,,"Drain BUSHâ€™S<sup>Â®</sup> Maple Cured Bacon Baked Beans, spoon into bowl and mash with a potato masher.  Spread half the bean mixture on one side of each tortilla to within 1/2-inch of edges.  Sprinkle half the cheese over the beans on each.  Place half of the red and green pepper strips along one edge of each tortilla.  Roll tortilla tightly around peppers; repeat with second tortilla.","Wrap in plastic wrap; refrigerate several hours or overnight.  When ready to serve, slice about 1-inch off each end of tortillas.  Slice remaining portion of tortilla roll into approximately 15 slices each.  Serve with salsa for dipping, if desired.","1 (16 ounce) can BUSHâ€™S<sup>Â®</sup> Maple Cured Bacon Baked Beans, drained","2 large flavored flour tortillas (chili, tomato, cilantro, etc.)","2 cups shredded Jalapeno Jack cheese, divided","12 red bell pepper strips, divided","12 green bell pepper strips, divided","Salsa, if desired",,,,,,24 bites, 15   Minutes,0   Minutes, 15   Minutes,http://bbcdn.ar-cdn.com/Recipes/XLarge/71665.jpg,"These delightful little wraps are packed with cheese, beans, and peppers. They are great appetizers with a Southwestern flair!",Zesty Bean Bites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Fat,3g,Saturated Fat,1g,Sodium,231mg,Carbohydrates,21g,Dietary Fiber,3g,Protein,4g,Sugars,9g,Vitamin C,0mg,Calcium,31mg,Iron,1mg,Thiamin,0mg,Niacin Equivalents,1mg,Vitamin B6,0mg,Magnesium,16mg,Folate,28mcg,Vitamin A - IU,1626IU,Cholesterol,38mg,Potassium,109mg,30,135,pinto,BUSHâ€™SÂ® beans,,,,,,"Preheat oven to 350 degrees. Cut an 8 x 12 inch piece of wax paper and moisten one side with water. Press wax paper, wet side down, into an 8 x 8 inch glass baking dish. Let longer sides of paper extend up sides of the baking dish to help with removal. Lightly spray the wax paper and sides of the pan with non-stick spray.","For crust, stir together egg white, gingersnap crumbs and butter until combined.  Press into pan, using back of a greased spoon. Bake for 10-12 minutes, or until firm. Remove pan from oven and cool.",Crust:,1 egg white,3/4 cup ground gingersnaps,1 tablespoon butter,Filling:,"1 (16 ounce) can BUSHâ€™S<sup>Â®</sup> Pinto Beans, rinsed and drained",1/2 cup buttermilk,"2 eggs, lightly beaten",1/2 cup pumpkin puree,2 tablespoons molasses,1 tablespoon vanilla extract,12 bars, 1 hour 25   Minutes, 40   Minutes, 45   Minutes,http://bbcdn.ar-cdn.com/Recipes/XLarge/63868.jpg,These gingerbread flavored bars taste great and will keep your energy up all day.,Spiced Energy Bars,"For filling, puree BUSHâ€™S<sup>Â®</sup> Pinto Beans with buttermilk in a food processor until smooth. Transfer to mixing bowl and add eggs, pumpkin puree, molasses and vanilla. Beat with hand mixer on high for one minute. In a small bowl, combine brown sugar, cornstarch, cinnamon, ginger, nutmeg, salt and clove. Sift mixture into filling and beat for one minute on high. Pour filling onto the prepared crust and sprinkle granola on top.","2 tablespoons dark brown sugar, firmly packed",1 tablespoon cornstarch,"Bake 40-45 minutes, or until inserted knife comes out clean. Cool completely, and lift from pan using the ends of the wax paper. Cut into 12 bars and store in an airtight container in the refrigerator.",1 teaspoon cinnamon,1/2 teaspoon ground ginger,1/4 teaspoon ground nutmeg,1/4 teaspoon salt,,,,,1/8 teaspoon ground cloves,Topping:,3/4 cup low fat granola,,,,,,,,,,,,,,,,,,,,,,,,
Total Fat,34g,Sodium,1849mg,Dietary Fiber,12g,Protein,57g,Cholesterol,151mg,Total Carbs,63g,,,,,,,,,,,,,,,,,,,,,,,,,,777,lasagna,,,,,,,Preheat oven to 375 degrees F. Grease 8â€ùx8â€ù baking dish with cooking spray and set aside.,"Using knife or kitchen scissors, cut tortillas in half. Set aside.",10 6-inch corn tortillas,1 can (21 ounces) BUSHâ€™S<sup>Â®</sup> Black Bean Fiesta Grillinâ€™ Beans<sup>Â®</sup>,"3 cups skinless, boneless chicken breast, cooked and diced","1/2 cup yellow onion, diced","1 jar (16 ounces) tomato salsa, divided","2 cups shredded sharp Cheddar cheese, divided",Cooking spray,"Optional Toppings:  Diced avocado, pico de gallo, sour cream ",,,,4, 55   Minutes, 45   Minutes, 10   Minutes,http://bbcdn.ar-cdn.com/Recipes/XLarge/50d0d375-150b-4dc4-8cb5-5d25d4674204.jpg,"Layers of beans & chicken, salsa & cheese, and tortillas bring your favorite enchilada flavors to this quick and easy one-dish meal.",Baked Enchilada Lasagna,"In large bowl, combine Grillinâ€™ Beans, chicken and onion. Stir to combine. ",,,"To create lasagna, place one layer of tortillas in bottom of baking dish. Using rubber spatula, spread 1/2 of bean mixture on tortillas. Spread â…” cup salsa on top of bean mixture and sprinkle â…” cup cheese. Repeat with one more layer each of tortillas, remaining bean mixture, â…” cup salsa and â…” cup cheese. Top with layer of remaining tortillas, salsa and cheese.",,,,,Bake 45 minutes or until cheese is golden and lasagna is bubbly. ,"Using oven mitts, remove from oven and let cool before serving. Add optional toppings, as desired.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Fat,15g,Sodium,1771mg,Dietary Fiber,12g,Protein,24g,Cholesterol,0mg,Total Carbs,148g,,,,,,,,,,,,,,,,,,,,,,,,,,830,,,,,,,,Heat Grillinâ€™ Beans according to instructions on can. ,"In medium bowl, combine rice, cilantro and lime juice and mix.",1 can (21 ounces) BUSHâ€™S<sup>Â®</sup> Black Bean Fiesta Grillinâ€™ Beans<sup>Â®</sup>,"3 cups white rice, cooked","2 tablespoons cilantro, chopped",2 tablespoons lime juice,6 12-inch flour tortillas (burrito size),"Optional Toppings:  Diced avocado, salsa, shredded Cheddar cheese, sour cream",,,,,,4, 13   Minutes, 3   Minutes, 10   Minutes,http://bbcdn.ar-cdn.com/Recipes/XLarge/46267078-8c41-4027-877a-2bf76f6e27e9.jpg,"Spicy black beans are rolled up in warm tortillas with rice, fresh cilantro and your favorite toppings for a quick lunch or anytime snack.",Black Bean Burrito,Place tortillas between paper towels and heat in microwave according to package instructions.,,,"To assemble burrito, place tortilla on plate and spoon 1/2 cup rice mixture and 1/2 cup Grillinâ€™ Beans. Add optional toppings, as desired. ",,,,,Tuck sides of tortilla over filling and roll. Place seam side down on serving plate. Repeat with remaining tortillas. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Fat,9g,Saturated Fat,4g,Sodium,1616mg,Carbohydrates,55g,Dietary Fiber,6g,Protein,13g,Sugars,7g,Vitamin C,24mg,Calcium,157mg,Iron,4mg,Thiamin,0mg,Niacin Equivalents,2mg,Vitamin B6,0mg,Magnesium,8mg,Folate,8mcg,Vitamin A - IU,1050IU,Cholesterol,15mg,Potassium,264mg,84,362,BUSHâ€™SÂ® beans,,,,,,,"In a large saucepan, cook onion and green pepper in hot oil until tender. Add BUSHâ€™S<sup>Â®</sup> Chili Magic Chili Starter, tomato, white and wild rice mix and water; bring to a boil.","Cover, reduce heat, and simmer for 20 to 30 minutes or until rice is tender and liquid is absorbed. Spoon into a serving dish and sprinkle with cheese.",1 (15.5 ounce) can BUSHâ€™S<sup>Â®</sup> Chili Magic Chili Starter,1/2 cup chopped onion,1/2 cup chopped green pepper,1 tablespoon vegetable oil,"1 (14.5 ounce) can can tomatoes, undrained and chopped",1 (6 ounce) package white and wild rice mix with seasoning packet,1 cup water,1/2 cup shredded Cheddar cheese,,,,4 servings, 30   Minutes, 25   Minutes, 5   Minutes,http://bbcdn.ar-cdn.com/Recipes/XLarge/default.gif,"This hearty main dish chili-rice is zesty, cheesy, and on the table in just over 1/2 hour.",Chili-Rice Con Queso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Fat,26g,Saturated Fat,9g,Sodium,1919mg,Carbohydrates,71g,Dietary Fiber,7g,Protein,25g,Sugars,8g,Vitamin C,62mg,Calcium,86mg,Iron,5mg,Thiamin,1mg,Niacin Equivalents,9mg,Vitamin B6,1mg,Magnesium,41mg,Folate,119mcg,Vitamin A - IU,2058IU,Cholesterol,65mg,Potassium,604mg,232,635,chili,BUSHâ€™SÂ® beans,,,,,,"In large skillet, brown sausage. Add one onion and saute together. Drain fat. Add diced tomatoes with juice; mix well. Add Chili Magic and peppers; stir. Cover and Simmer 7-10 minutes. Serve over rice.",,1 (15.5 ounce) can BUSHâ€™S<sup>Â®</sup> Chili Magic Chili Starter,1 pound sausage,1 (14.5 ounce) can diced tomatoes,1 cup diced red and green peppers,1 cup chopped onion (optional),Cooked rice,,,,,,4 servings, 27   Minutes, 17   Minutes, 10   Minutes,http://bbcdn.ar-cdn.com/Recipes/XLarge/default.gif,Bring the bayou to your home with this sausage chili with red and green peppers and onion.,Cajun Sausage Chili,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Fat,17g,Saturated Fat,4g,Sodium,673mg,Carbohydrates,42g,Dietary Fiber,4g,Protein,7g,Sugars,1g,Vitamin C,0mg,Calcium,167mg,Iron,1mg,Thiamin,0mg,Niacin Equivalents,1mg,Vitamin B6,0mg,Magnesium,79mg,Folate,11mcg,Vitamin A - IU,2IU,Cholesterol,14mg,Potassium,148mg,157,344,dips,BUSHâ€™SÂ® beans,Chili con,,,,,"In microwavable bowl, mix BUSHâ€™S<sup>Â®</sup> Chili Magic Chili Starter and cheese. Heat 2 or 3 minutes, or until cheese melts. Stir as needed. Serve with chips.",,1 (15.5 ounce) can BUSHâ€™S<sup>Â®</sup> Chili Magic Chili Starter,1 (15.5 ounce) jar cheese dip,2 (14.5 ounce) packages tortilla or corn chips,,,,,,,,,15 servings, 4   Minutes, 3   Minutes, 1 Minute,http://bbcdn.ar-cdn.com/Recipes/XLarge/default.gif,"Hot and cheesy chili con queso dip is ready in just 5 minutes, and is always a crowd pleaser!",5 Minute Chili Con Queso Dip,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fat,30g,Sodium,1900mg,Dietary Fiber,9g,Protein,25g,Sugars,13g,Cholesterol,69mg,Total Carbs,62g,,,,,,,,,,,,,,,,,,,,,,,,618,,,,,,,,For Funky Chow Chow: In medium bowl mix together Funky Chow Chow ingredients. Cover with plastic wrap and refrigerate for 2 hours to overnight.  ,"For Bratwursts: Set clean, well-oiled grill to medium heat (350-375 degrees F) and prepare for direct and indirect cooking.** ",For Funky Chow Chow:,"1	cup			sauerkraut, undrained*","â…” 	cup			yellow onion, diced small","Â_ 	cup			sweet pickle relish","2	teaspoons		yellow mustard","2	teaspoons		sugar","Â_ 	teaspoon		granulated garlic","â…“	teaspoon		celery salt","Â_ 	teaspoon		smoked paprika","Â_	teaspoon		ground cayenne (optional)","1	12-inch sheet		plastic wrap",6, 50   Minutes, 40   Minutes, 10   Minutes,http://bbcdn.ar-cdn.com/Recipes/XLarge/82998857-a3df-4dd9-885a-f22809ab4563.jpg,"Recipe created for BUSHâ€™S<sup>Â®</sup> Baked Beans by John Dawson, author of outdoor cooking blog, â€œPatio Daddio BBQâ€ù (www.PatioDaddioBBQ.com).",Brats with Funky Chow Chow,"When grill is hot, using tongs, place bratwursts on hot side of grill and cook over direct heat for 20 minutes. ",For Bratwursts:,"6	each (3-4 ounces)	bratwursts","Using tongs, move bratwursts to indirect side of grill (cooler side) and continue cooking for 20 minutes or until internal temperature is at least 165 degrees F. ","6	each			bratwurst buns","1 	can (28 ounces each)	BUSHâ€™S<sup>Â®</sup> Original Baked Beans  ",,,"About 5 minutes before bratwursts are done cooking, place buns on grill over direct heat. Toast 5 minutes.","Using tongs, remove buns from grill and place on platter.",Remove bratwursts from grill and place in buns. Top with Funky Chow Chow.,Serve with BUSHâ€™S Original Baked Beans.,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Fat,1g,Saturated Fat,0g,Sodium,319mg,Carbohydrates,62g,Dietary Fiber,15g,Protein,15g,Sugars,21g,Vitamin C,55mg,Calcium,118mg,Iron,1mg,Thiamin,0mg,Niacin Equivalents,1mg,Vitamin B6,0mg,Magnesium,24mg,Folate,35mcg,Vitamin A - IU,55IU,Cholesterol,1mg,Potassium,382mg,11,322,great northern,BUSHâ€™SÂ® beans,quick & easy,,,,,"Place the pineapple juice, yogurt and berries in a blender and blend until smooth.","Add BUSHâ€™S<sup>Â®</sup> Great Northern Beans, honey, ground ginger and nutmeg. Blend, scraping the sides as needed.",1 (6 ounce) can pineapple juice,4 ounces nonfat strawberry banana yogurt,1 cup frozen strawberries,"1 (16 ounce) can BUSHâ€™S<sup>Â®</sup> Great Northern White Beans, drained and rinsed",1 teaspoon honey,3/4 teaspoon ground ginger,1/4 teaspoon ground nutmeg,,,,,2 servings, 5   Minutes,0   Minutes, 5   Minutes,http://bbcdn.ar-cdn.com/Recipes/XLarge/146453.jpg,"This fruit smoothie made with strawberries, bananas and pineapple makes for a surprisingly cool treat!",Tropical Quake Shake,Serve well chilled.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Fat,7g,Saturated Fat,4g,Sodium,777mg,Carbohydrates,48g,Dietary Fiber,7g,Protein,7g,Sugars,28g,Vitamin C,8mg,Calcium,35mg,Iron,0mg,Thiamin,0mg,Niacin Equivalents,1mg,Vitamin B6,0mg,Magnesium,14mg,Folate,22mcg,Vitamin A - IU,217IU,Cholesterol,17mg,Potassium,214mg,66,283,grilling,BUSHâ€™SÂ® beans,,,,,,"Cut off onion stems and peel. Hollow out onions leaving base intact. Finely chop pieces removed from onions. In mixing bowl, combine BUSHâ€™S<sup>Â®</sup> Country Style Baked Beans, onions, brown sugar and barbecue sauce. Spoon baked beans mixture into onions. Top each onion with piece of butter, ground pepper and piece of bacon. Arrange onions on grill grate away from fire. Grill onions 40-60 minutes or until golden brown and tender.",,8 medium Vidalia onions or other sweet onions,1 (28 ounce) can BUSHâ€™S<sup>Â®</sup> Country Style Baked Beans,1/4 cup dark brown sugar,1/2 cup sweet red barbecue sauce,"4 tablespoons butter, cut into 8 pieces","2 strips bacon, precooked, cut into 8 pieces","Freshly ground black pepper, to taste",,,,,8 servings, 50   Minutes, 40   Minutes, 10   Minutes,http://bbcdn.ar-cdn.com/Recipes/XLarge/63875.jpg,"Grilled sweet onions, baked beans, brown sugar and barbecue sauce create the perfect flavor combination.",Country Style Barbecued Onions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fat,15g,Sodium,808ma,Dietary Fiber,6g,Protein,43g,Cholesterol,91mg,Total Carbs,32g,,,,,,,,,,,,,,,,,,,,,,,,,,441,Family Inspired,BUSH'S,special,garbanzo beans,,,,Heat oil in a 10-inch skillet over medium-high heat. Add beef and brown thoroughly with bacon and rosemary. Season lightly with salt and pepper.,Add onion; sautÃ© until lightly caramelized.,1 tablespoon olive oil,"2 pounds beef shoulder, cut into 2-inch cubes","2 slices bacon, chopped","1/2 teaspoon dried, crushed rosemary ",salt and pepper,"1 small onion, chopped ","1 medium carrot, peeled and thickly sliced","1 (10 ounce) can diced tomatoes, undrained","1 (16 ounce) can BUSHâ€™S<sup>Â®</sup> Garbanzo Beans, drained ",1/2 cup beef broth or red wine,,4, 3   hours 20   Minutes, 3   hours, 20   Minutes,http://bbcdn.ar-cdn.com/Recipes/Specialrecipes/50049a69-91cb-4ca3-b65c-c9b9b882e506.jpg,"This luscious, flavorful stew of beef and garbanzo beans is sure to keep you warm on a cold winter's night.",Mediterranean Beef and Bean Stew,"Place beef mixture, carrot and tomatoes in slow cooker. Top with beans and beef broth or red wine. ",,,Cover and cook 3-4 hours on low.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Fat,26g,Saturated Fat,13g,Sodium,841mg,Carbohydrates,51g,Dietary Fiber,7g,Protein,24g,Sugars,3g,Vitamin C,5mg,Calcium,510mg,Iron,3mg,Thiamin,0mg,Niacin Equivalents,5mg,Vitamin B6,0mg,Magnesium,43mg,Folate,99mcg,Vitamin A - IU,824IU,Cholesterol,55mg,Potassium,270mg,232,521,black beans,vegetarian,BUSHâ€™SÂ® beans,kid friendly,,,,Preheat oven to 450 degrees F.,"In a bowl toss together beans, corn, and onion.","1 (15 ounce) can BUSHâ€™S<sup>Â®</sup> Black Beans, rinsed, drained and patted dry",1 cup fresh corn kernels,1 cup finely chopped green onion,1 1/2 cups grated extra-sharp white Cheddar cheese,1 1/2 cups grated Monterey Jack cheese,12 (6 inch) flour tortillas,1 tablespoon olive oil,1/4 tablespoon cayenne,,,,6 servings, 35   Minutes, 15   Minutes, 20   Minutes,http://bbcdn.ar-cdn.com/Recipes/XLarge/166218.jpg,"Layered tortillas baked with black beans, green onions, cheddar and Monterey jack cheeses, and corn make this a tasty, easy and filling meal.",Corn and Black Bean Tortilla Cakes,In another bowl toss together cheeses.,,,Put 3 tortillas in one layer on a large heavy baking sheet.,,,,,Sprinkle each tortilla with about 1/3 cup bean mixture and about 1/3 cup cheese mixture and top with a second tortilla.,"Make 2 more layers on each tortilla in same manner with remaining bean mixture, cheeses, and tortillas, gently pressing each layer down and ending with a fourth tortilla on top of each cake. (Tortilla cakes may be prepared up to this point 6 hours ahead and chilled, wrapped well in plastic wrap.)",In a small bowl stir together oil and cayenne and lightly brush mixture over top of each cake.,"Bake cakes in middle of oven until golden, about 12 to 15 minutes.",,,,,Let cool for a few minutes and then cut the cakes into wedges and serve immediately.,,,,,,,,,,,,,,,,,,,,,,
Total Fat,7g,Saturated Fat,1g,Sodium,1130mg,Carbohydrates,56g,Dietary Fiber,19g,Protein,18g,Sugars,4g,Vitamin C,5mg,Calcium,21mg,Iron,0mg,Thiamin,0mg,Niacin Equivalents,0mg,Vitamin B6,0mg,Magnesium,8mg,Folate,8mcg,Vitamin A - IU,2151IU,Cholesterol,0mg,Potassium,140mg,66,360,black beans,pinto,BUSHâ€™SÂ® beans,,,,,"Heat oil in medium saute pan. Add onions, celery and carrots. Cook over medium heat until tender, adding garlic during last two minutes. Add beans, tomatoes, thyme, and wine.  Salt and pepper to taste.",,2 tablespoons olive oil,"1 small onion, chopped","1 small celery stalk, chopped","1 small carrot, chopped","1 clove garlic, chopped","1 (16 ounce) can BUSHâ€™S<sup>Â®</sup> Red Kidney Beans, rinsed and drained","1 (16 ounce) can BUSHâ€™S<sup>Â®</sup> Black Beans, rinsed and drained","1 (16 ounce) can BUSHâ€™S<sup>Â®</sup> Pinto Beans, rinsed and drained",1/2 cup chopped canned whole tomatoes,1 teaspoon fresh thyme,2 teaspoons white wine,4 servings, 1 hour, 40   Minutes, 20   Minutes,http://bbcdn.ar-cdn.com/Recipes/XLarge/147347.jpg,A blend of garlic and thyme accents the beans and tomatoes in this tasty side dish. Serve with grilled chicken for a quick and delicious meal.,Herb Garlic Beans and Vegetables,,Salt and pepper to taste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Fat,7g,Saturated Fat,3g,Sodium,902mg,Carbohydrates,50g,Dietary Fiber,6g,Protein,21g,Sugars,4g,Vitamin C,20mg,Calcium,128mg,Iron,0mg,Thiamin,0mg,Niacin Equivalents,2mg,Vitamin B6,0mg,Magnesium,12mg,Folate,10mcg,Vitamin A - IU,236IU,Cholesterol,12mg,Potassium,159mg,59,340,BUSHâ€™SÂ® beans,quick & easy,,,,,,"Heat oven to 425 degrees F. Place 3/4 cup BUSHâ€™S<sup>Â®</sup> Kidney Beans in small bowl and partially mash with potato masher or back of wooden spoon. Add salsa; mix well. Spread mixture evenly over pizza crust. Top pizza with cheese, remaining beans, peppers and onions.",Place pizza on baking sheet; bake for 12 minutes or until cheese is melted and crust is golden brown. Top with cilantro; cut into 12 thin wedges. Serve warm.,"1 (16 ounce) can BUSHâ€™S<sup>Â®</sup> Kidney Beans, rinsed and drained",3/4 cup salsa,1 (12 inch) thin prepared pizza crust (low in fat),1 1/4 cups reduced fat shredded Cheddar cheese,6 yellow or green bell pepper thin rings,"2 thin slices red onion, separated into rings",2 tablespoons chopped cilantro or green onions,,,,,6 servings, 22   Minutes, 12   Minutes, 10   Minutes,http://bbcdn.ar-cdn.com/Recipes/XLarge/71671.jpg,"A great idea for your Cinco de Mayo party - or anytime you need a fast, delicious and nutritious appetizer.",Mexican Party Pizza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Fat,7g,Saturated Fat,3g,Sodium,724mg,Carbohydrates,22g,Dietary Fiber,7g,Protein,14g,Sugars,5g,Vitamin C,21mg,Calcium,38mg,Iron,2mg,Thiamin,0mg,Niacin Equivalents,4mg,Vitamin B6,0mg,Magnesium,19mg,Folate,11mcg,Vitamin A - IU,912IU,Cholesterol,28mg,Potassium,395mg,66,215,chili,BUSHâ€™SÂ® beans,,,,,,"In large pan, cook beef, onion, and green pepper until meat is browned. Drain excess grease. Stir in remaining ingredients, except green onion and sour cream. Bring to boil. Cover, reduce heat, and simmer for 20 minutes. Garnish with green onion and dollop of sour cream.",,1 pound lean ground beef,1 cup chopped onion,1 cup chopped green bell pepper,1 (16 ounce) can BUSHâ€™S<sup>Â®</sup> Chili Beans,1 (16 ounce) can BUSHâ€™S<sup>Â®</sup> Dark Red Kidney Beans,1 (14.5 ounce) can diced tomatoes,1 (6 ounce) can tomato paste,1/2 cup water,1/4 teaspoon black pepper,1 teaspoon salt,1 tablespoon chili powder,10 cups, 40   Minutes, 25   Minutes, 15   Minutes,http://bbcdn.ar-cdn.com/Recipes/XLarge/175486.jpg,Your friends will become big fans of this hearty chili recipe. Garnish with chopped green onions and sour cream for added flavor.,Classic Two Bean Chili,,2 teaspoons oregano,"2 cloves garlic, minced",,Garnish:,Chopped green onion,Sour cream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
